ID,Name,Botanical name,vine,bamboo,tree,shrub,cactus,edible,ornam.,fragrant,medicinal,wood,height range (m),germination time,germination comment,germination instructions,Description
126,Chinese Maple,Acer Buergreianum,n,n,y,n,n,n,y,n,n,,8-12,2-3 weeks,,"Acer buergerianum, commonly known as the Trident Maple, is a deciduous tree prized for its attractive, three-lobed leaves which turn vibrant shades of red, orange, and yellow in the fall. Native to eastern China, Taiwan, and Japan, this maple typically grows to a medium size, reaching heights of 20-30 feet, making it a popular choice for urban landscapes and bonsai cultivation. Its exfoliating bark, developing a mottled pattern of gray, brown, and orange hues with age, adds further ornamental value, especially during the winter months. The Trident Maple is relatively adaptable to different soil types and tolerates pollution, contributing to its popularity as a street tree and garden specimen.","Acer buergerianum, commonly known as the Trident Maple, is a deciduous tree prized for its attractive, three-lobed leaves which turn vibrant shades of red, orange, and yellow in the fall. Native to eastern China, Taiwan, and Japan, this maple typically grows to a medium size, reaching heights of 20-30 feet, making it a popular choice for urban landscapes and bonsai cultivation. Its exfoliating bark, developing a mottled pattern of gray, brown, and orange hues with age, adds further ornamental value, especially during the winter months. The Trident Maple is relatively adaptable to different soil types and tolerates pollution, contributing to its popularity as a street tree and garden specimen."
127,Trumpet Bush,ACapsis,n,n,n,y,n,n,y,n,n,,2-4,2-3 weeks,,"ACapsis is an interactive platform designed to assist users in navigating and understanding complex legislative information, particularly within the European Union. It utilizes AI to analyze legislation, extract key information, and present it in an accessible format, including summaries, timelines, and identified relationships between different pieces of legislation. ACapsis aims to empower citizens, researchers, and policymakers with the tools they need to effectively engage with and comprehend the ever-evolving landscape of European law.","ACapsis is an interactive platform designed to assist users in navigating and understanding complex legislative information, particularly within the European Union. It utilizes AI to analyze legislation, extract key information, and present it in an accessible format, including summaries, timelines, and identified relationships between different pieces of legislation. ACapsis aims to empower citizens, researchers, and policymakers with the tools they need to effectively engage with and comprehend the ever-evolving landscape of European law."
128,Mangosteen,Garcinia Mnagostana,n,n,y,n,n,y,n,y,y,,6-12,2-4 weeks,,"Garcinia mangostana, commonly known as mangosteen, is a tropical evergreen tree native to Southeast Asia. Revered for its sweet and tangy fruit, the mangosteen boasts a deep purple rind encasing snow-white, juicy segments. Beyond its delicious flavor, mangosteen is also prized in traditional medicine for its potential antioxidant and anti-inflammatory properties, primarily attributed to compounds called xanthones found in the rind. The fruit is enjoyed fresh and is also used in juices, supplements, and other health products.","Garcinia mangostana, commonly known as mangosteen, is a tropical evergreen tree native to Southeast Asia. Revered for its sweet and tangy fruit, the mangosteen boasts a deep purple rind encasing snow-white, juicy segments. Beyond its delicious flavor, mangosteen is also prized in traditional medicine for its potential antioxidant and anti-inflammatory properties, primarily attributed to compounds called xanthones found in the rind. The fruit is enjoyed fresh and is also used in juices, supplements, and other health products."
129,Clementine,Citrus X Clementina,n,n,y,n,n,y,y,y,n,,4-6,1-2 weeks,,"Citrus X Clementina, commonly known as Clementine, is a seedless or nearly seedless variety of mandarin orange. It's favored for its easy-to-peel skin, juicy, sweet flesh, and bright, tangy flavor. The clementine is a hybrid, believed to be a cross between a mandarin orange and a sweet orange, and is typically smaller and flatter than other mandarin varieties. Its popularity stems from its convenience, appealing taste, and vibrant color, making it a widely consumed citrus fruit, especially during the winter months.","Citrus X Clementina, commonly known as Clementine, is a seedless or nearly seedless variety of mandarin orange. It's favored for its easy-to-peel skin, juicy, sweet flesh, and bright, tangy flavor. The clementine is a hybrid, believed to be a cross between a mandarin orange and a sweet orange, and is typically smaller and flatter than other mandarin varieties. Its popularity stems from its convenience, appealing taste, and vibrant color, making it a widely consumed citrus fruit, especially during the winter months."
130,Iberian White Birch,Betula celtiberica,n,n,y,n,n,n,n,y,n,,15-25,1-2 weeks,,"Betula celtiberica, also known as the Iberian birch, is a deciduous tree endemic to the Iberian Peninsula, particularly found in mountainous regions of Spain and Portugal. Characterized by its distinctive peeling, papery bark that ranges from creamy white to pinkish-brown hues, it typically grows to a medium height, rarely exceeding 25 meters. Its leaves are ovate to rhombic, with serrated margins and a pointed tip, displaying a vibrant green color that turns yellow in autumn. This birch species favors moist, well-drained soils and is often found along streams and in mixed forests, playing an important role in local biodiversity.","Betula celtiberica, also known as the Iberian birch, is a deciduous tree endemic to the Iberian Peninsula, particularly found in mountainous regions of Spain and Portugal. Characterized by its distinctive peeling, papery bark that ranges from creamy white to pinkish-brown hues, it typically grows to a medium height, rarely exceeding 25 meters. Its leaves are ovate to rhombic, with serrated margins and a pointed tip, displaying a vibrant green color that turns yellow in autumn. This birch species favors moist, well-drained soils and is often found along streams and in mixed forests, playing an important role in local biodiversity."
131,Indian Bat Fig,Ficus Amplissima,n,n,y,n,n,n,n,n,n,,20-30,2-4 weeks,,"Ficus amplissima, also known as the Indian Bat Tree, is a large, deciduous tree native to India and surrounding regions. Characterized by its broad, spreading crown, buttressed trunk, and aerial roots that eventually develop into supporting pillars, it creates a majestic and impressive presence. Its large, leathery leaves are dark green, and it produces small, inconspicuous figs that are a vital food source for various birds and bats, playing a crucial role in its native ecosystem. The tree is often planted for shade and ornamental purposes, providing a cool respite from the sun.","Ficus amplissima, also known as the Indian Bat Tree, is a large, deciduous tree native to India and surrounding regions. Characterized by its broad, spreading crown, buttressed trunk, and aerial roots that eventually develop into supporting pillars, it creates a majestic and impressive presence. Its large, leathery leaves are dark green, and it produces small, inconspicuous figs that are a vital food source for various birds and bats, playing a crucial role in its native ecosystem. The tree is often planted for shade and ornamental purposes, providing a cool respite from the sun."
132,Drooping Fig,Ficus Semicordata,n,n,y,n,n,n,n,n,y,,15-25,2-4 weeks,,"Ficus semicordata, also known as the Drooping Fig or Reverse Fig, is a fast-growing, evergreen tree or shrub native to Southeast Asia. It's characterized by its striking, pendulous branches that often droop towards the ground, giving it a graceful, weeping appearance. The tree produces small, round figs that grow directly on its trunk and branches, a phenomenon known as cauliflory. These figs are initially green but mature to a reddish-brown color, attracting various birds and other wildlife. Ficus semicordata is often planted for its ornamental value and is also used in traditional medicine.","Ficus semicordata, also known as the Drooping Fig or Reverse Fig, is a fast-growing, evergreen tree or shrub native to Southeast Asia. It's characterized by its striking, pendulous branches that often droop towards the ground, giving it a graceful, weeping appearance. The tree produces small, round figs that grow directly on its trunk and branches, a phenomenon known as cauliflory. These figs are initially green but mature to a reddish-brown color, attracting various birds and other wildlife. Ficus semicordata is often planted for its ornamental value and is also used in traditional medicine."
133,Cluster Fig,Ficus Racemosa,n,n,y,n,n,n,n,n,y,,20-30,2-4 weeks,,"Ficus racemosa, also known as the cluster fig or gular fig, is a fast-growing, deciduous tree native to Southeast Asia and Australia. Distinctive for its cauliflorous fruiting habit, it produces clusters of round, reddish-brown figs directly on its trunk and branches, rather than at the ends of twigs like many other fig species. These figs are an important food source for a variety of wildlife, including birds, bats, and monkeys. The tree is also valued in traditional medicine for its purported healing properties and is often planted in temple grounds due to its spiritual significance.","Ficus racemosa, also known as the cluster fig or gular fig, is a fast-growing, deciduous tree native to Southeast Asia and Australia. Distinctive for its cauliflorous fruiting habit, it produces clusters of round, reddish-brown figs directly on its trunk and branches, rather than at the ends of twigs like many other fig species. These figs are an important food source for a variety of wildlife, including birds, bats, and monkeys. The tree is also valued in traditional medicine for its purported healing properties and is often planted in temple grounds due to its spiritual significance."
134,Jabuticaba,Plinia cauliflora,n,n,y,n,n,y,y,y,y,,5-10,2-4 weeks,,"Plinia cauliflora, commonly known as the jabuticaba, is a Brazilian tree renowned for its unusual fruiting habit. It produces small, dark purple, grape-like fruits directly on its trunk and branches, giving the tree a unique and almost otherworldly appearance when laden with ripe berries. The fruits have a thick, edible skin and a sweet, juicy pulp that is enjoyed fresh, used in jams, jellies, and wines.  Slow-growing and requiring specific environmental conditions, the jabuticaba is a cherished fruit tree in its native region and a sought-after novelty in tropical and subtropical climates worldwide.","Plinia cauliflora, commonly known as the jabuticaba, is a Brazilian tree renowned for its unusual fruiting habit. It produces small, dark purple, grape-like fruits directly on its trunk and branches, giving the tree a unique and almost otherworldly appearance when laden with ripe berries. The fruits have a thick, edible skin and a sweet, juicy pulp that is enjoyed fresh, used in jams, jellies, and wines.  Slow-growing and requiring specific environmental conditions, the jabuticaba is a cherished fruit tree in its native region and a sought-after novelty in tropical and subtropical climates worldwide."
135,Calfornian Incense Cedar,Calocedrus,n,n,y,n,n,n,n,y,y,,20-60,1-2 weeks,,"Calocedrus, commonly known as incense-cedars, is a genus of evergreen coniferous trees in the cypress family, Cupressaceae. These medium to large trees are native to western North America and eastern Asia, characterized by their scale-like leaves arranged in flattened sprays, and their distinctive aromatic wood, hence the name ""incense-cedar."" They are valued for their durability, resistance to decay, and fragrant scent, making them popular for use in pencils, furniture, and construction. With their elegant, tapering form and attractive foliage, Calocedrus are also widely cultivated as ornamental trees in parks and gardens.","Calocedrus, commonly known as incense-cedars, is a genus of evergreen coniferous trees in the cypress family, Cupressaceae. These medium to large trees are native to western North America and eastern Asia, characterized by their scale-like leaves arranged in flattened sprays, and their distinctive aromatic wood, hence the name ""incense-cedar."" They are valued for their durability, resistance to decay, and fragrant scent, making them popular for use in pencils, furniture, and construction. With their elegant, tapering form and attractive foliage, Calocedrus are also widely cultivated as ornamental trees in parks and gardens."
136,False Spirea Tree,Sorbaria Sorbifolia,n,n,n,y,n,n,y,n,n,,1-2,2-3 weeks,,"Sorbaria sorbifolia, commonly known as Ural false spirea or ash leaf spirea, is a deciduous shrub admired for its fern-like foliage and upright panicles of creamy-white flowers. This hardy plant spreads vigorously via suckers, forming dense colonies, and boasts attractive bronze-red new growth that matures to bright green. Its resilience and adaptability make it suitable for various garden settings, although its aggressive spreading habit necessitates careful consideration of its placement. In autumn, the foliage can turn vibrant shades of red and orange, adding further visual appeal to the landscape.","Sorbaria sorbifolia, commonly known as Ural false spirea or ash leaf spirea, is a deciduous shrub admired for its fern-like foliage and upright panicles of creamy-white flowers. This hardy plant spreads vigorously via suckers, forming dense colonies, and boasts attractive bronze-red new growth that matures to bright green. Its resilience and adaptability make it suitable for various garden settings, although its aggressive spreading habit necessitates careful consideration of its placement. In autumn, the foliage can turn vibrant shades of red and orange, adding further visual appeal to the landscape."
137,Japanese Snow Flower Bush,Deutzia Gracilis,n,n,n,y,n,n,y,n,n,,1-2,2-3 weeks,,"Deutzia gracilis, often called slender deutzia, is a compact, deciduous shrub celebrated for its profuse display of pure white, star-shaped flowers in late spring to early summer. Reaching only 2-4 feet in height and width, it's a perfect choice for small gardens, borders, or foundation plantings. Its lance-shaped, green leaves provide an attractive backdrop for the blossoms, and although fall color is not particularly noteworthy, its low-maintenance nature, delicate appearance, and easy adaptability make it a popular and reliable flowering shrub.","Deutzia gracilis, often called slender deutzia, is a compact, deciduous shrub celebrated for its profuse display of pure white, star-shaped flowers in late spring to early summer. Reaching only 2-4 feet in height and width, it's a perfect choice for small gardens, borders, or foundation plantings. Its lance-shaped, green leaves provide an attractive backdrop for the blossoms, and although fall color is not particularly noteworthy, its low-maintenance nature, delicate appearance, and easy adaptability make it a popular and reliable flowering shrub."
138,Wisteria,Wisteria Floribunda,y,n,y,n,n,n,y,y,n,,10-20,2-3 weeks,,"Wisteria floribunda, or Japanese wisteria, is a deciduous, woody, twining vine renowned for its spectacular, cascading clusters of fragrant, pea-like flowers that bloom in spring. These blossoms, typically lavender, violet, or white, can reach up to two feet long, creating a breathtaking floral display. The vine itself is a vigorous grower, with pinnately compound leaves adding to its lush, green appearance. While its beauty is undeniable, it's essential to manage its growth carefully, as it can become quite aggressive and potentially damaging to structures.","Wisteria floribunda, or Japanese wisteria, is a deciduous, woody, twining vine renowned for its spectacular, cascading clusters of fragrant, pea-like flowers that bloom in spring. These blossoms, typically lavender, violet, or white, can reach up to two feet long, creating a breathtaking floral display. The vine itself is a vigorous grower, with pinnately compound leaves adding to its lush, green appearance. While its beauty is undeniable, it's essential to manage its growth carefully, as it can become quite aggressive and potentially damaging to structures."
139,Persian Lilac,Syringa x Persica,n,n,n,y,n,n,y,y,n,,2-4,2-3 weeks,,"Syringa x persica, commonly known as Persian Lilac, is a deciduous shrub or small tree appreciated for its fragrant, pale lilac to lavender-colored flowers that bloom in late spring. It's a hybrid species, smaller and more delicate in appearance than the common lilac, featuring lance-shaped leaves and a gracefully spreading habit. This lilac is prized for its tolerance of drier conditions and its resistance to powdery mildew, making it a relatively low-maintenance option for adding beauty and fragrance to gardens and landscapes. Its charming blooms attract pollinators and offer a delightful springtime display.","Syringa x persica, commonly known as Persian Lilac, is a deciduous shrub or small tree appreciated for its fragrant, pale lilac to lavender-colored flowers that bloom in late spring. It's a hybrid species, smaller and more delicate in appearance than the common lilac, featuring lance-shaped leaves and a gracefully spreading habit. This lilac is prized for its tolerance of drier conditions and its resistance to powdery mildew, making it a relatively low-maintenance option for adding beauty and fragrance to gardens and landscapes. Its charming blooms attract pollinators and offer a delightful springtime display."
140,English Oak,Quercus Robur,n,n,y,n,n,n,n,n,n,,20-40,Variable,often requires stratification,"Quercus robur, commonly known as the English oak, is a majestic and long-lived deciduous tree native to Europe. Renowned for its strength and longevity, it can live for centuries, reaching heights of up to 40 meters. Its distinctive features include deeply lobed leaves, a sturdy trunk, and acorns that are an important food source for wildlife. As a keystone species, the English oak supports a vast ecosystem, providing habitat and sustenance for numerous insects, birds, and mammals.","Quercus robur, commonly known as the English oak, is a majestic and long-lived deciduous tree native to Europe. Renowned for its strength and longevity, it can live for centuries, reaching heights of up to 40 meters. Its distinctive features include deeply lobed leaves, a sturdy trunk, and acorns that are an important food source for wildlife. As a keystone species, the English oak supports a vast ecosystem, providing habitat and sustenance for numerous insects, birds, and mammals."
141,American Sycamore,Plantus Occidentalis,n,n,y,n,n,n,n,n,n,,30-50,1-2 weeks,,"Plantus Occidentalis, commonly known as the Western Planetree or American Sycamore, is a majestic deciduous tree native to eastern and central North America. Characterized by its mottled bark that peels away in large patches revealing creamy white, green, and tan underlayers, the Sycamore can reach impressive heights and spreads. It boasts large, palmate leaves resembling those of maple trees, and its fruits are small, spherical balls that hang in clusters throughout the winter. A fast-growing species, the Western Planetree is often found near waterways and is valued for its shade, ornamental qualities, and tolerance of urban environments.","Plantus Occidentalis, commonly known as the Western Planetree or American Sycamore, is a majestic deciduous tree native to eastern and central North America. Characterized by its mottled bark that peels away in large patches revealing creamy white, green, and tan underlayers, the Sycamore can reach impressive heights and spreads. It boasts large, palmate leaves resembling those of maple trees, and its fruits are small, spherical balls that hang in clusters throughout the winter. A fast-growing species, the Western Planetree is often found near waterways and is valued for its shade, ornamental qualities, and tolerance of urban environments."
142,Chinese Cornelian Cherry,Curnus Chinensis,n,n,y,y,n,y,y,y,n,,4-6,Variable,may need stratification,"Cornus chinensis, commonly known as Chinese dogwood, is a small to medium-sized deciduous tree or large shrub native to China. It's prized for its elegant form, attractive exfoliating bark that develops a mottled appearance with age, and abundant display of creamy-white bracts in late spring to early summer that resemble large, single flowers. These bracts are followed by clusters of red, berry-like fruits in autumn, adding further ornamental value. The leaves are simple, oval-shaped, and turn reddish-purple in the fall, providing beautiful seasonal color. It's generally considered more disease-resistant than other dogwood species, making it a popular choice for landscapes seeking a graceful and long-lived flowering tree.","Cornus chinensis, commonly known as Chinese dogwood, is a small to medium-sized deciduous tree or large shrub native to China. It's prized for its elegant form, attractive exfoliating bark that develops a mottled appearance with age, and abundant display of creamy-white bracts in late spring to early summer that resemble large, single flowers. These bracts are followed by clusters of red, berry-like fruits in autumn, adding further ornamental value. The leaves are simple, oval-shaped, and turn reddish-purple in the fall, providing beautiful seasonal color. It's generally considered more disease-resistant than other dogwood species, making it a popular choice for landscapes seeking a graceful and long-lived flowering tree."
143,Turkey Small Apple,Malus X Zumi,n,n,y,n,n,y,y,y,n,,5-8,1-2 weeks,,"Malus x zumi, commonly known as the Zumi Crabapple, is a small, deciduous tree prized for its profusion of fragrant white flowers in spring and masses of small, bright red fruits in fall. These crabapples persist well into winter, providing visual interest and a food source for birds. The tree's overall form is typically rounded or spreading, making it a popular choice for ornamental planting in gardens and urban landscapes. It is relatively low-maintenance and disease-resistant, adding to its appeal as a reliable and attractive addition to the landscape.","Malus x zumi, commonly known as the Zumi Crabapple, is a small, deciduous tree prized for its profusion of fragrant white flowers in spring and masses of small, bright red fruits in fall. These crabapples persist well into winter, providing visual interest and a food source for birds. The tree's overall form is typically rounded or spreading, making it a popular choice for ornamental planting in gardens and urban landscapes. It is relatively low-maintenance and disease-resistant, adding to its appeal as a reliable and attractive addition to the landscape."
144,Chinese Catalpa,Catalpa Ovata,n,n,y,n,n,n,y,n,n,,10-15,2-3 weeks,,"Catalpa ovata, also known as the Chinese Catalpa, is a deciduous tree native to China, prized for its ornamental value and medicinal properties.  It features large, heart-shaped leaves, showy panicles of creamy white flowers speckled with yellow and purple markings, and long, slender seed pods that resemble beans.  Reaching a moderate size, it's often cultivated for shade and attracts pollinators with its fragrant blooms, while various parts of the tree are used in traditional Chinese medicine for their purported therapeutic effects.","Catalpa ovata, also known as the Chinese Catalpa, is a deciduous tree native to China, prized for its ornamental value and medicinal properties.  It features large, heart-shaped leaves, showy panicles of creamy white flowers speckled with yellow and purple markings, and long, slender seed pods that resemble beans.  Reaching a moderate size, it's often cultivated for shade and attracts pollinators with its fragrant blooms, while various parts of the tree are used in traditional Chinese medicine for their purported therapeutic effects."
145,Common Plane Tree,Platanus × acerifolia,n,n,y,n,n,n,n,n,n,,20-35,1-2 weeks,,"Platanus × acerifolia, commonly known as the London plane tree, is a large, deciduous tree prized for its pollution tolerance and urban adaptability.  It features a distinctive mottled bark that peels away in large, irregular patches of olive green, brown, and creamy white. Its broad, maple-like leaves offer shade in the summer and turn a muted yellow-brown in the fall.  Globose fruiting heads, dangling in pairs or occasionally singles, persist through the winter, adding to its visual interest. As a hybrid of Platanus orientalis and Platanus occidentalis, the London plane tree is a vigorous grower and a popular choice for street plantings and parks, providing a robust and tolerant presence in the built environment.","Platanus × acerifolia, commonly known as the London plane tree, is a large, deciduous tree prized for its pollution tolerance and urban adaptability.  It features a distinctive mottled bark that peels away in large, irregular patches of olive green, brown, and creamy white. Its broad, maple-like leaves offer shade in the summer and turn a muted yellow-brown in the fall.  Globose fruiting heads, dangling in pairs or occasionally singles, persist through the winter, adding to its visual interest. As a hybrid of Platanus orientalis and Platanus occidentalis, the London plane tree is a vigorous grower and a popular choice for street plantings and parks, providing a robust and tolerant presence in the built environment."
146,London Plane Tree,Platanus X Hispanica,n,n,y,n,n,n,n,n,n,,20-35,1-2 weeks,,"Platanus × hispanica, also known as the London plane tree, is a large, deciduous tree renowned for its mottled bark that peels away in irregular patches, revealing a mosaic of green, cream, and brown beneath. This hybrid of the American sycamore (Platanus occidentalis) and the Oriental plane (Platanus orientalis) is highly tolerant of urban conditions, including air pollution and compacted soil, making it a popular choice for lining city streets and parks. It boasts broad, maple-like leaves and produces characteristic spherical, fuzzy fruits that dangle from long stalks throughout the winter. Its robust growth and adaptability contribute to its widespread presence across temperate regions globally.","Platanus × hispanica, also known as the London plane tree, is a large, deciduous tree renowned for its mottled bark that peels away in irregular patches, revealing a mosaic of green, cream, and brown beneath. This hybrid of the American sycamore (Platanus occidentalis) and the Oriental plane (Platanus orientalis) is highly tolerant of urban conditions, including air pollution and compacted soil, making it a popular choice for lining city streets and parks. It boasts broad, maple-like leaves and produces characteristic spherical, fuzzy fruits that dangle from long stalks throughout the winter. Its robust growth and adaptability contribute to its widespread presence across temperate regions globally."
147,Golden Myrtle Queensland,Thaleropia Queenslandica,n,n,y,y,n,n,y,y,y,,5-10,2-3 weeks,,"Thaleropia queenslandica, commonly known as the Queensland Laceflower, is a captivating evergreen tree endemic to the rainforests of northeastern Queensland, Australia. Characterized by its distinctive, deeply lobed, and finely textured leaves that give it a ""lace-like"" appearance, it is a member of the Myrtaceae family. The tree produces clusters of small, creamy-white flowers followed by rounded, berry-like fruits that attract native birds. This relatively small tree, reaching heights of up to 15 meters, is admired for its ornamental foliage and plays a vital role in the rainforest ecosystem.","Thaleropia queenslandica, commonly known as the Queensland Laceflower, is a captivating evergreen tree endemic to the rainforests of northeastern Queensland, Australia. Characterized by its distinctive, deeply lobed, and finely textured leaves that give it a ""lace-like"" appearance, it is a member of the Myrtaceae family. The tree produces clusters of small, creamy-white flowers followed by rounded, berry-like fruits that attract native birds. This relatively small tree, reaching heights of up to 15 meters, is admired for its ornamental foliage and plays a vital role in the rainforest ecosystem."
148,Costa Rica '95 Coffee,Coffee Arabica,n,n,y,y,n,y,y,y,n,,2-4,2-3 weeks,,"Coffee Arabica, the world's most popular coffee species, is cherished for its smooth, aromatic flavor and relatively low acidity. Originating from the highlands of Ethiopia, Arabica beans are typically grown at high altitudes in tropical climates, requiring meticulous care and precise harvesting methods. The resulting coffee boasts complex flavor profiles, ranging from floral and fruity to chocolatey and nutty, making it a favorite among coffee connoisseurs and a staple in specialty coffee shops around the globe. Its balanced taste and delicate characteristics make it ideal for both brewing and espresso-based beverages.","Coffee Arabica, the world's most popular coffee species, is cherished for its smooth, aromatic flavor and relatively low acidity. Originating from the highlands of Ethiopia, Arabica beans are typically grown at high altitudes in tropical climates, requiring meticulous care and precise harvesting methods. The resulting coffee boasts complex flavor profiles, ranging from floral and fruity to chocolatey and nutty, making it a favorite among coffee connoisseurs and a staple in specialty coffee shops around the globe. Its balanced taste and delicate characteristics make it ideal for both brewing and espresso-based beverages."
149,Bourbon Coffee,Coffee Arabica,n,n,y,y,n,y,y,y,n,,2-4,,,"Coffee Arabica is the most widely cultivated species of coffee, prized for its delicate aroma and flavor profile. Originating from the highlands of Ethiopia, Arabica beans are typically characterized by a smooth, aromatic taste with notes of chocolate, caramel, or fruit, and possess a balanced acidity. While requiring specific growing conditions, including high altitudes and consistent rainfall, Arabica beans generally contain less caffeine than other coffee species, making them a preferred choice for many coffee drinkers seeking a nuanced and enjoyable cup.","Coffee Arabica is the most widely cultivated species of coffee, prized for its delicate aroma and flavor profile. Originating from the highlands of Ethiopia, Arabica beans are typically characterized by a smooth, aromatic taste with notes of chocolate, caramel, or fruit, and possess a balanced acidity. While requiring specific growing conditions, including high altitudes and consistent rainfall, Arabica beans generally contain less caffeine than other coffee species, making them a preferred choice for many coffee drinkers seeking a nuanced and enjoyable cup."
150,Orange Jasmine,Murraya Paniculata,n,n,n,y,n,y,y,y,y,,2-4,2-3 weeks,,"Murraya paniculata, also known as orange jasmine, is a fragrant, evergreen shrub or small tree native to Southeast Asia and Australia. Highly prized for its glossy, dark green foliage and prolific clusters of intensely sweet-smelling, creamy white flowers resembling jasmine or orange blossoms, it's a popular ornamental plant in warmer climates. This adaptable plant can be pruned into hedges, topiaries, or allowed to grow naturally, and its fragrant flowers often attract pollinators. While beautiful and fragrant, it can become invasive in some regions, so responsible cultivation is recommended.","Murraya paniculata, also known as orange jasmine, is a fragrant, evergreen shrub or small tree native to Southeast Asia and Australia. Highly prized for its glossy, dark green foliage and prolific clusters of intensely sweet-smelling, creamy white flowers resembling jasmine or orange blossoms, it's a popular ornamental plant in warmer climates. This adaptable plant can be pruned into hedges, topiaries, or allowed to grow naturally, and its fragrant flowers often attract pollinators. While beautiful and fragrant, it can become invasive in some regions, so responsible cultivation is recommended."
151,La Laguna Lemon Guava,Psidium Guajava,n,n,y,n,n,y,y,y,y,,5-10,2-3 weeks,,"Psidium guajava, commonly known as guava, is a tropical fruit-bearing tree or shrub in the myrtle family (Myrtaceae). Native to the Americas, guavas are now cultivated worldwide for their delicious and nutritious fruit. The fruit itself is typically round or pear-shaped, with a thin, edible skin that ranges in color from green to yellow depending on the variety. Inside, the flesh can be white, pink, or red, and is often filled with small, edible seeds. Guavas are known for their unique aroma and sweet, slightly tart flavor, and are a good source of Vitamin C, antioxidants, and fiber.","Psidium guajava, commonly known as guava, is a tropical fruit-bearing tree or shrub in the myrtle family (Myrtaceae). Native to the Americas, guavas are now cultivated worldwide for their delicious and nutritious fruit. The fruit itself is typically round or pear-shaped, with a thin, edible skin that ranges in color from green to yellow depending on the variety. Inside, the flesh can be white, pink, or red, and is often filled with small, edible seeds. Guavas are known for their unique aroma and sweet, slightly tart flavor, and are a good source of Vitamin C, antioxidants, and fiber."
152,Bael Fruit (Golden Apple),Aegle Marmelos,n,n,y,n,n,y,n,y,y,,10-15,2-4 weeks,,"Aegle marmelos, commonly known as bael, wood apple, or Bengal quince, is a deciduous tree native to the Indian subcontinent and Southeast Asia. Revered for its medicinal and cultural significance, the bael tree produces a fruit with a hard, woody shell that encases a fragrant pulp. This pulp, often consumed fresh or used in beverages and traditional remedies, is rich in vitamins, minerals, and bioactive compounds. Various parts of the bael tree, including its leaves, roots, and bark, are also utilized in traditional medicine for their therapeutic properties, contributing to its widespread use in Ayurvedic and other traditional practices.","Aegle marmelos, commonly known as bael, wood apple, or Bengal quince, is a deciduous tree native to the Indian subcontinent and Southeast Asia. Revered for its medicinal and cultural significance, the bael tree produces a fruit with a hard, woody shell that encases a fragrant pulp. This pulp, often consumed fresh or used in beverages and traditional remedies, is rich in vitamins, minerals, and bioactive compounds. Various parts of the bael tree, including its leaves, roots, and bark, are also utilized in traditional medicine for their therapeutic properties, contributing to its widespread use in Ayurvedic and other traditional practices."
153,Indien Frankincense,Bowelia Serrata,n,n,y,y,n,n,n,y,y,,4-6,Variable,,"Boswellia serrata, also known as Indian frankincense, is a tree native to India, North Africa, and the Middle East, prized for its resin which has been used for centuries in traditional Ayurvedic medicine. The resin contains compounds like boswellic acids, believed to possess anti-inflammatory properties and are often used to manage conditions like osteoarthritis, rheumatoid arthritis, and asthma. As a dietary supplement, Boswellia serrata is commonly available in capsule, tablet, and powder forms, often promoted for joint health, pain relief, and overall wellness. While generally considered safe, it's essential to consult with a healthcare professional before use, especially if you have existing medical conditions or are taking other medications.","Boswellia serrata, also known as Indian frankincense, is a tree native to India, North Africa, and the Middle East, prized for its resin which has been used for centuries in traditional Ayurvedic medicine. The resin contains compounds like boswellic acids, believed to possess anti-inflammatory properties and are often used to manage conditions like osteoarthritis, rheumatoid arthritis, and asthma. As a dietary supplement, Boswellia serrata is commonly available in capsule, tablet, and powder forms, often promoted for joint health, pain relief, and overall wellness. While generally considered safe, it's essential to consult with a healthcare professional before use, especially if you have existing medical conditions or are taking other medications."
154,Fragrant Padri Tree,Stereospermum Chelonoides,n,n,y,n,n,n,y,y,y,,15-20,2-3 weeks,,"Stereospermum chelonoides, commonly known as the Yellow Snake Tree, is a deciduous tree native to Southeast Asia and India. It's characterized by its large, trumpet-shaped, fragrant yellow flowers with reddish-brown markings that bloom during the hot season. The tree boasts large, compound leaves and distinctive, elongated, cylindrical seed pods that resemble snakes, giving it its common name. It's often found in deciduous forests and is valued for its ornamental beauty and traditional medicinal uses, with various parts of the tree utilized in local remedies.","Stereospermum chelonoides, commonly known as the Yellow Snake Tree, is a deciduous tree native to Southeast Asia and India. It's characterized by its large, trumpet-shaped, fragrant yellow flowers with reddish-brown markings that bloom during the hot season. The tree boasts large, compound leaves and distinctive, elongated, cylindrical seed pods that resemble snakes, giving it its common name. It's often found in deciduous forests and is valued for its ornamental beauty and traditional medicinal uses, with various parts of the tree utilized in local remedies."
